province,return_period,original_fit_rr,rr_bootstrap_median,rr_lower_95,rr_upper_95,rr_valid_bootstraps,original_fit_ric,ric_bootstrap_median,ric_lower_95,ric_upper_95,ric_valid_bootstraps
Guizhou Province,8.153719300703223,1.549966326378284,1.563907483089133,1.170994656543666,2.248725162769138,1000,-21.051397454289923,-21.306019926734777,-33.141042496130915,-8.234061981995648,1000
Guizhou Province,8.269356882569042,1.5553639161695523,1.5676431313318782,1.1720092112722802,2.2653759018813995,1000,-20.942445683393824,-21.20451685778393,-32.96601314762387,-8.246690826083473,1000
Guizhou Province,8.3866344583869,1.5608248697941842,1.5730150374206744,1.173046958578788,2.28303267231875,1000,-20.83667252720919,-21.089573296957717,-32.799452369519464,-8.222387437644924,1000
Guizhou Province,8.505575286859717,1.5663496619097905,1.5786677732063699,1.174107955873024,2.3005523474404996,1000,-20.733974659049164,-20.98105641395407,-32.659067524951915,-8.162519706476031,1000
Guizhou Province,8.626202956549708,1.571938772664874,1.5845068357704863,1.1751922607424663,2.318459153661974,1000,-20.63425293724825,-20.90624715057143,-32.522071792112925,-8.128412094557556,1000
Guizhou Province,8.748541390556525,1.5775926877911093,1.5913819821421702,1.1762999309940645,2.336515665633029,1000,-20.537412199374916,-20.828947196642574,-32.38836327859225,-8.108346827136549,1000
Guizhou Province,8.872614851261718,1.5833118986951011,1.5983797735263956,1.1774641677695346,2.353777586895807,1000,-20.44336106838078,-20.718194834106797,-32.257843980694716,-8.090592476662202,1000
Guizhou Province,8.998447945140505,1.5890969025497534,1.6049095728360196,1.1786559983859752,2.3660332168963945,1000,-20.3520117698889,-20.60433178652911,-32.12606960209006,-8.075064090101705,1000
Guizhou Province,9.126065627641761,1.5949482023852515,1.6119869545890309,1.1798719795386166,2.378362807113923,1000,-20.263279959883064,-20.525042675676488,-32.003736901431985,-8.061680200879778,1000
Guizhou Province,9.255493208137237,1.6008663071797655,1.618535161050565,1.1811121758130647,2.3907668732065317,1000,-20.17708456211638,-20.424545056759538,-31.884414581728688,-8.050362661154908,1000
Guizhou Province,9.386756354940953,1.6068517319499669,1.6243881422239759,1.1823766522989785,2.403245934989649,1000,-20.093347614607136,-20.327018652628624,-31.768014901096144,-8.04209972905929,1000
Guizhou Province,9.519881100399797,1.6129049978413295,1.6309860650121624,1.1836654746250308,2.4158005164953216,1000,-20.0119941246369,-20.23809006229613,-31.65445333581561,-8.007770811972337,1000
Guizhou Province,9.654893846056298,1.6190266322183857,1.6360245039936958,1.1858933095820285,2.4284218359798797,1000,-19.932951931708356,-20.168139722051446,-31.515756618355354,-7.9620921540803025,1000
Guizhou Province,9.791821367884632,1.6252171687549253,1.641585642090297,1.188620603228241,2.44562597450382,1000,-19.85615157795908,-20.118829607182917,-31.360174481369715,-7.9297645807083175,1000
Guizhou Province,9.930690821600875,1.6314771475242038,1.6478916274927697,1.1913963090557027,2.463251131528327,1000,-19.78152618556434,-20.026329620836826,-31.207834479729755,-7.96191834202209,1000
Guizhou Province,10.071529748048581,1.6378071150892337,1.6547543529657263,1.19427211208084,2.4810932633891003,1000,-19.70901134069432,-19.930163394712572,-31.058648116311613,-7.997409910603448,1000
Guizhou Province,10.214366078660744,1.6442076245932022,1.661032486065627,1.1972029937226198,2.499155059303292,1000,-19.638544983622126,-19.85743594017958,-30.912529993038053,-8.033547545711489,1000
Guizhou Province,10.35922814099918,1.6506792358500528,1.6687376453462646,1.200184551256847,2.5174392479439724,1000,-19.570067304607296,-19.803989352694458,-30.7693732748958,-8.038316664816273,1000
Guizhou Province,10.506144664372531,1.6572225154353097,1.6741275273141811,1.2026184925753733,2.539944733470489,1000,-19.503520645204336,-19.758904560917614,-30.629116251463955,-8.052655064250022,1000
Guizhou Province,10.655144785533896,1.6638380367771481,1.6806633501329875,1.206117429987024,2.563597277786946,1000,-19.438849404671767,-19.713582901360947,-30.49168656442571,-8.097086820075504,1000
Guizhou Province,10.806258054459285,1.6705263802478112,1.687123824707069,1.2061524365351621,2.587637018653409,1000,-19.375999951177043,-19.65464564851161,-30.357010016628767,-8.058189375676795,1000
