province,return_period,factual_original,factual_bootstrap_median,factual_lower_95,factual_upper_95,factual_valid_bootstraps,counterfactual_original,counterfactual_bootstrap_median,counterfactual_lower_95,counterfactual_upper_95,counterfactual_valid_bootstraps
Chongqing Municipality,286.95133496668035,-1.6934003408954537,-1.6836420123796376,-1.8366224398305067,-1.5328007254730887,1000,-1.5363047598526318,-1.5288990578017063,-1.6855840875593537,-1.3994387188937198,1000
Chongqing Municipality,293.644912996619,-1.6981981236957469,-1.6886671612278459,-1.8420668433723393,-1.5371671639546485,1000,-1.5405140909318755,-1.5328939637231298,-1.6903542922927421,-1.402780401838784,1000
Chongqing Municipality,300.4946289544333,-1.7029857212707866,-1.6934284393399088,-1.8475192995242875,-1.5415238816734411,1000,-1.5447130853475022,-1.537067400751389,-1.6951137386197983,-1.406112318400168,1000
Chongqing Municipality,307.50412499569563,-1.7077631989370077,-1.6981448627698488,-1.8529352609823564,-1.5458709422176138,1000,-1.5489018134546224,-1.541380540221458,-1.69986249721364,-1.409434540539181,1000
Chongqing Municipality,314.67712823481867,-1.7125306213220277,-1.7027583786545293,-1.8583586015220686,-1.5498609326184904,1000,-1.553080344836623,-1.5455897643904697,-1.704600637990243,-1.4127471393836537,1000
Chongqing Municipality,322.01745272684917,-1.7172880523747063,-1.7072852206803566,-1.8637716205591415,-1.5534331445203,1000,-1.5572487483167707,-1.5497378428342392,-1.7093282301196215,-1.4164459579275572,1000
Chongqing Municipality,329.52900149549146,-1.722035555375015,-1.712188397197068,-1.8691743811481305,-1.5569955166775706,1000,-1.5614070919695884,-1.5538762127469685,-1.7140885943605078,-1.4201648699766831,1000
Chongqing Municipality,337.2157686084375,-1.7267731929437267,-1.7166630493051298,-1.8745669457018002,-1.56054811898115,1000,-1.565555443132022,-1.5580049382739583,-1.7188954416872277,-1.4238742268384703,1000
Chongqing Municipality,345.08184130110646,-1.7315010270519204,-1.7212966953868634,-1.8799335696590047,-1.5640935459760343,1000,-1.569693868414396,-1.5621877647585969,-1.7239295592166255,-1.4275851598579108,1000
Chongqing Municipality,353.1314021499241,-1.7362191190303216,-1.725890416740044,-1.8852896156127112,-1.5676332791657122,1000,-1.5738224337111613,-1.5662514207542557,-1.7289716822783918,-1.431287840521914,1000
Chongqing Municipality,361.36873129629873,-1.7409275295784612,-1.7305284005596964,-1.8906356245215592,-1.5711675103863139,1000,-1.5779412042114407,-1.5704180225439077,-1.7337357389444978,-1.4349811645295238,1000
Chongqing Municipality,369.79820872247126,-1.7456263187736714,-1.7353398702286267,-1.8966186975353714,-1.5746957516461657,1000,-1.582050244409381,-1.5746696886448865,-1.7384826270522713,-1.438665195218037,1000
