Province,Return_period,RR_bootstrap_median,RR_lower_95,RR_upper_95,RIC_bootstrap_median,RIC_lower_95,RIC_upper_95
Sichuan Province,28.554718175291498,901.1682329606148,75.05426194789035,999999.9999999995,64.78028039185628,56.2666400302141,75.69140882315699
Sichuan Province,28.959686563198343,913.280889996689,75.18299298477841,999999.9999999995,64.70929904818792,56.14156288956709,75.66622856854845
Sichuan Province,29.370398289008122,925.5371376700059,75.30922246774914,999999.9999999995,64.642062394827,56.016742840032336,75.64113733984352
Sichuan Province,29.786934805820028,937.9385318752069,75.45257739225491,1000000.0,64.57298274981343,55.892178495662655,75.61613446610696
Sichuan Province,30.209378721916416,953.6679777738199,75.76844341919224,1000000.0,64.5067533564859,55.76786848736825,75.59121928464407
Sichuan Province,30.637813817145886,969.7339111720257,76.08335035874507,1000000.0,64.45058842584909,55.64616393605829,75.57107737425734
Sichuan Province,31.0723250595386,986.0804715811944,76.39728291554471,1000000.0,64.3781751487575,55.54478328875177,75.55940524199262
Sichuan Province,31.512998622157287,1002.7129827834681,76.71022581000824,1000000.0,64.3194276279009,55.44355673375483,75.54790588757452
Sichuan Province,31.95992190018734,1020.2646252909237,77.02216377980744,1000000.0,64.26060948640699,55.34248360355183,75.53657795058109
Sichuan Province,32.413183528269066,1040.0545732916758,77.33308158134436,1000000.0,64.18629895104235,55.241563238950405,75.52542008599634
Sichuan Province,32.872873398075946,1060.2600074567656,77.64296399122694,1000000.0,64.1146062899794,55.14130943014263,75.51443096396643
Sichuan Province,33.33908267614208,1080.8904566009492,77.95179580774622,1000000.0,64.0347743380604,55.04162379518525,75.50356690592993
Sichuan Province,33.81190382194251,1101.9556865263808,78.25956185235906,1000000.0,63.97591570916138,54.942086982018736,75.49218791349222
Sichuan Province,34.29143060623001,1123.4657063773102,78.56624697116969,1000000.0,63.92244857628867,54.84269837024778,75.43920450257872
Sichuan Province,34.777758129631756,1145.430775177661,78.87183603641428,1000000.0,63.86147458731692,54.743457347044426,75.38318576621312
Sichuan Province,35.27098284150995,1167.8614085570143,79.17631394794856,1000000.0,63.79798573776081,54.644363307020164,75.32685141324303
Sichuan Province,35.77120255908979,1190.768385670548,79.47966563473233,1000000.0,63.731921158541084,54.54541565210021,75.29884655804521
Sichuan Province,36.27851648685876,1214.162756319397,79.78187605632044,1000000.0,63.656934386065345,54.4470136117194,75.27501458394003
Sichuan Province,36.79302523624112,1234.9366167044839,80.08293020435038,1000000.0,63.57226842566749,54.36189947266615,75.25126181810474
Sichuan Province,37.31483084555123,1259.9324976868807,80.38281310403184,1000000.0,63.50914250325103,54.276944228355845,75.22758770654511
Sichuan Province,37.84403680023004,1284.1532924484732,80.68150981563686,1000000.0,63.43274636136029,54.1930769780993,75.20399170162699
Sichuan Province,38.38074805336851,1307.2146055712433,80.97900543599033,1000000.0,63.38648490263754,54.13083046870986,75.1804732619785
Sichuan Province,38.925071046522056,1329.4743324094577,81.27528509995831,1000000.0,63.34143897971168,54.074510899869196,75.15703185239232
Sichuan Province,39.477113730820356,1352.1177541684974,81.57033398193813,1000000.0,63.29282312474474,53.9427188083999,75.13366694373138
Sichuan Province,40.036985588376254,1375.1517034666178,81.864137297346,1000000.0,63.21815447615354,53.85545025520374,75.11037801283553
Sichuan Province,40.60479765399853,1398.5831389841878,82.05636964408997,1000000.0,63.14448304227126,53.77087402682284,75.08716454243009
Sichuan Province,41.18066253721253,1421.6769993899693,82.15883881860844,1000000.0,63.079062612735356,53.687600154337964,75.06402602103654
Sichuan Province,41.76469444459312,1444.08836865592,82.25875435825961,1000000.0,63.001552581763896,53.60447755426537,75.04096194288432
Sichuan Province,42.35700920241426,1467.4590848064227,82.35611512454456,1000000.0,62.929291286430754,53.52195278756583,75.01797180782482
Sichuan Province,42.95772427961995,1495.619107065302,82.45092017685599,1000000.0,62.872332425209194,53.439630085055704,74.99505512124672
Sichuan Province,43.56695881112087,1521.9552960915826,82.54316877223422,1000000.0,62.79769481489363,53.361596289344725,74.98543689512026
Sichuan Province,44.18483362142138,1547.9251508213501,82.63286036508947,1000000.0,62.718226578469086,53.307337018092056,74.99752024885788
Sichuan Province,44.811471248581796,1571.2113351778844,82.7199946069032,1000000.0,62.650798125370194,53.21254000094782,74.97835943111214
